                  Winrate  Gd/min  Avg game time  Drag %  GD at 15
100 Thieves          33.3   -61.0         2031.0    56.6    -562.0
CLG                  41.7   -91.0         2144.0    32.3   -1145.0
Cloud9               83.3   317.0         1746.0    72.1    2321.0
Dignitas             25.0  -160.0         1994.0    43.7    -648.0
Evil Geniuses        50.0    -4.0         2067.0    46.5     -12.0
FlyQuest             50.0    30.0         2067.0    50.4     -64.0
Golden Guardians     50.0    -7.0         2188.0    60.2     752.0
Immortals            25.0  -211.0         2093.0    42.8   -1240.0
Team Liquid          83.3   176.0         2137.0    48.7     925.0
TSM                  58.3    11.0         2099.0    46.7    -328.0
