gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,1/25/2020 21:37,1,10.01,1,Blue,top,Licorice,Cloud9,Aatrox,Irelia,Ornn,Lucian,Ekko,Orianna,1474,1,3,1,1,9,3,1,0,0,0,0,0,0,1,0.3664,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0,0,8009,326.0109,0.216325,12,0.4885,6,0.2442,5,32,1.3026,9860,6577,267.7205,0.231509,8475,,213,193,20,6,2,8.6703,3323,4983,86,3012,4420,76,311,563,10,5193,8018,125,4681,6176,102,512,1842,23
ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,1/25/2020 21:37,1,10.01,2,Blue,jng,Blaber,Cloud9,Lee Sin,Irelia,Ornn,Lucian,Ekko,Orianna,1474,1,1,1,7,9,3,0,0,0,0,0,0,0,0,0.3664,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0,0,4477,182.2388,0.120925,10,0.4071,7,0.2849,6,29,1.1805,8160,4877,198.521,0.171673,6575,,113,15,98,60,9,4.5997,2801,2882,55,3025,2927,61,-224,-45,-6,4189,4560,78,4790,4787,91,-601,-227,-13
ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,1/25/2020 21:37,1,10.01,3,Blue,mid,Nisqy,Cloud9,Veigar,Irelia,Ornn,Lucian,Ekko,Orianna,1474,1,4,0,2,9,3,0,0,0,0,0,0,0,0,0.3664,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0,0,10967,446.4179,0.296221,16,0.6513,2,0.0814,7,25,1.0176,10501,7218,293.8128,0.25407,8950,,203,185,18,12,6,8.2632,3142,4568,79,3450,5002,92,-308,-434,-13,5414,7071,124,5020,7257,136,394,-186,-12
ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,1/25/2020 21:37,1,10.01,4,Blue,bot,Zven,Cloud9,Aphelios,Irelia,Ornn,Lucian,Ekko,Orianna,1474,1,1,0,5,9,3,0,0,0,0,0,0,0,0,0.3664,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0,0,11278,459.0773,0.304621,9,0.3664,6,0.2442,4,26,1.0583,10312,7029,286.1194,0.247418,8700,,243,224,19,15,0,9.8915,3396,3524,95,3276,3133,86,120,391,9,5068,5661,140,4922,5213,127,146,448,13
ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,1/25/2020 21:37,1,10.01,5,Blue,sup,Vulcan,Cloud9,Tahm Kench,Irelia,Ornn,Lucian,Ekko,Orianna,1474,1,0,1,3,9,3,0,0,0,0,0,0,0,0,0.3664,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0,0,2292,93.2972,0.0619075,34,1.384,5,0.2035,14,54,2.1981,5991,2708,110.2307,0.09533,5050,,30,26,4,0,0,1.2212,2113,2410,12,2215,2977,19,-102,-567,-7,3085,3333,18,3582,4101,25,-497,-768,-7
ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,1/25/2020 21:37,1,10.01,6,Red,top,Impact,Team Liquid,Mordekaiser,Akali,Qiyana,Rumble,Zoe,LeBlanc,1474,0,1,2,1,3,9,0,0,0,0,1,0,1,0,0.1221,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0,0,7258,295.441,0.297947,9,0.3664,1,0.0407,2,19,0.7734,7559,4276,174.057,0.21317,6685,,162,162,0,0,0,6.5943,3012,4420,76,3323,4983,86,-311,-563,-10,4681,6176,102,5193,8018,125,-512,-1842,-23
ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,1/25/2020 21:37,1,10.01,7,Red,jng,Shernfire,Team Liquid,Jarvan IV,Akali,Qiyana,Rumble,Zoe,LeBlanc,1474,0,1,2,2,3,9,0,0,0,0,1,0,1,0,0.1221,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0,0,3853,156.8385,0.158169,6,0.2442,7,0.2849,5,25,1.0176,7330,4047,164.7354,0.201755,6600,,138,17,121,99,0,5.6174,3025,2927,61,2801,2882,55,224,45,6,4790,4787,91,4189,4560,78,601,227,13
ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,1/25/2020 21:37,1,10.01,8,Red,mid,Jensen,Team Liquid,Azir,Akali,Qiyana,Rumble,Zoe,LeBlanc,1474,0,0,3,1,3,9,0,0,0,0,0,0,0,0,0.1221,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0,0,6585,268.0461,0.27032,8,0.3256,3,0.1221,4,13,0.5292,8174,4891,199.0909,0.243826,7825,,206,195,11,11,0,8.3853,3450,5002,92,3142,4568,79,308,434,13,5020,7257,136,5414,7071,124,-394,186,12
ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,1/25/2020 21:37,1,10.01,9,Red,bot,Doublelift,Team Liquid,Senna,Akali,Qiyana,Rumble,Zoe,LeBlanc,1474,0,0,1,2,3,9,0,0,0,0,1,0,1,0,0.1221,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0,0,5694,231.7775,0.233744,10,0.4071,3,0.1221,5,17,0.692,8151,4868,198.1547,0.242679,8025,,204,204,0,0,0,8.3039,3276,3133,86,3396,3524,95,-120,-391,-9,4922,5213,127,5068,5661,140,-146,-448,-13
ESPORTSTMNT02/1270555,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1270555?gameHash=48cc4673e669584b&amp;tab=overview,LCS,2020,Spring,0,1/25/2020 21:37,1,10.01,10,Red,sup,CoreJJ,Team Liquid,Thresh,Akali,Qiyana,Rumble,Zoe,LeBlanc,1474,0,1,1,0,3,9,0,0,0,0,1,1,0,0,0.1221,0.4885,,,,,,,,,,,,,,,,,,,,,,,,0,0,970,39.4844,0.0398194,28,1.1398,5,0.2035,10,48,1.9539,5260,1977,80.4749,0.0985704,5175,,34,34,0,0,0,1.384,2215,2977,19,2113,2410,12,102,567,7,3582,4101,25,3085,3333,18,497,768,7
