gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
ESPORTSTMNT01/1403832,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,LCS,2020,Summer,0,6/13/2020 0:40,1,10.11,1,Blue,top,Ssumday,100 Thieves,Ornn,Sett,Kalista,Graves,LeBlanc,Twisted Fate,2030,0,0,2,5,8,20,0,0,0,0,0,0,0,0,0.2365,0.8276,,,,,,,,,,,,,,,,,,,,,,,,0,0,16636,491.7044,0.23965,13,0.3842,8,0.2365,5,31,0.9163,11268,6851,202.4926,0.21893,10875,,265,263,2,2,0,7.8325,2898,4765,71,3223,4770,88,-325,-5,-17,4746,7726,122,4877,6782,123,-131,944,-1
ESPORTSTMNT01/1403832,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,LCS,2020,Summer,0,6/13/2020 0:40,1,10.11,2,Blue,jng,Meteos,100 Thieves,Olaf,Sett,Kalista,Graves,LeBlanc,Twisted Fate,2030,0,2,7,3,8,20,0,0,0,0,0,0,0,1,0.2365,0.8276,,,,,,,,,,,,,,,,,,,,,,,,0,0,8528,252.0591,0.12285,9,0.266,8,0.2365,7,42,1.2414,9970,5553,164.1281,0.177453,8700,,188,29,159,87,32,5.5567,3060,3288,70,3191,3509,68,-131,-221,2,4781,5435,97,5120,5374,98,-339,61,-1
ESPORTSTMNT01/1403832,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,LCS,2020,Summer,0,6/13/2020 0:40,1,10.11,3,Blue,mid,Ryoma,100 Thieves,Zoe,Sett,Kalista,Graves,LeBlanc,Twisted Fate,2030,0,2,6,4,8,20,0,0,0,0,0,0,0,0,0.2365,0.8276,,,,,,,,,,,,,,,,,,,,,,,,0,2,15092,446.069,0.217408,18,0.532,3,0.0887,9,28,0.8276,10603,6186,182.8374,0.19768,10875,,224,216,8,8,0,6.6207,2981,4331,80,3700,5145,90,-719,-814,-10,5139,6454,114,5922,8014,141,-783,-1560,-27
ESPORTSTMNT01/1403832,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,LCS,2020,Summer,0,6/13/2020 0:40,1,10.11,4,Blue,bot,Cody Sun,100 Thieves,Ezreal,Sett,Kalista,Graves,LeBlanc,Twisted Fate,2030,0,4,1,1,8,20,1,0,0,0,0,0,0,0,0.2365,0.8276,,,,,,,,,,,,,,,,,,,,,,,,0,0,22335,660.1478,0.321747,14,0.4138,5,0.1478,5,24,0.7094,14779,10362,306.266,0.331124,14025,,298,284,14,11,0,8.8079,3419,3425,87,2967,2740,75,452,685,12,5707,5761,139,4684,4739,115,1023,1022,24
ESPORTSTMNT01/1403832,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,LCS,2020,Summer,0,6/13/2020 0:40,1,10.11,5,Blue,sup,Stunt,100 Thieves,Nautilus,Sett,Kalista,Graves,LeBlanc,Twisted Fate,2030,0,0,4,7,8,20,0,0,0,0,0,0,0,0,0.2365,0.8276,,,,,,,,,,,,,,,,,,,,,,,,0,0,6827,201.7833,0.0983462,45,1.33,7,0.2069,10,82,2.4236,6758,2341,69.1921,0.0748131,6750,,34,34,0,0,0,1.0049,2069,2284,14,1947,2587,11,122,-303,3,3307,3652,21,3377,3821,18,-70,-169,3
ESPORTSTMNT01/1403832,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,LCS,2020,Summer,0,6/13/2020 0:40,1,10.11,6,Red,top,Kumo,Evil Geniuses,Aatrox,Varus,Syndra,Trundle,Bard,Karma,2030,1,4,2,8,20,8,0,0,0,0,0,0,0,0,0.5911,0.8276,,,,,,,,,,,,,,,,,,,,,,,,0,0,12944,382.5813,0.157412,20,0.5911,4,0.1182,12,36,1.064,13268,8851,261.6059,0.211195,12895,,251,221,30,15,9,7.4187,3223,4770,88,2898,4765,71,325,5,17,4877,6782,123,4746,7726,122,131,-944,1
ESPORTSTMNT01/1403832,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,LCS,2020,Summer,0,6/13/2020 0:40,1,10.11,7,Red,jng,Svenskeren,Evil Geniuses,Kindred,Varus,Syndra,Trundle,Bard,Karma,2030,1,2,4,8,20,8,0,0,0,0,0,0,0,0,0.5911,0.8276,,,,,,,,,,,,,,,,,,,,,,,,0,0,13284,392.6305,0.161547,14,0.4138,16,0.4729,9,59,1.7438,11800,7383,218.2167,0.176168,10950,,208,46,162,71,40,6.1478,3191,3509,68,3060,3288,70,131,221,-2,5120,5374,98,4781,5435,97,339,-61,1
ESPORTSTMNT01/1403832,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,LCS,2020,Summer,0,6/13/2020 0:40,1,10.11,8,Red,mid,Jizuke,Evil Geniuses,Corki,Varus,Syndra,Trundle,Bard,Karma,2030,1,10,1,6,20,8,1,0,0,0,1,1,0,0,0.5911,0.8276,,,,,,,,,,,,,,,,,,,,,,,,2,0,30514,901.8916,0.371081,12,0.3547,1,0.0296,6,20,0.5911,17718,13301,393.133,0.317375,15913,,328,292,36,28,8,9.6946,3700,5145,90,2981,4331,80,719,814,10,5922,8014,141,5139,6454,114,783,1560,27
ESPORTSTMNT01/1403832,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,LCS,2020,Summer,0,6/13/2020 0:40,1,10.11,9,Red,bot,Bang,Evil Geniuses,Aphelios,Varus,Syndra,Trundle,Bard,Karma,2030,1,3,0,7,20,8,0,0,0,0,0,0,0,0,0.5911,0.8276,,,,,,,,,,,,,,,,,,,,,,,,0,0,14455,427.2414,0.175787,21,0.6207,14,0.4138,9,72,2.1281,12570,8153,240.9754,0.194541,11225,,263,238,25,15,4,7.7734,2967,2740,75,3419,3425,87,-452,-685,-12,4684,4739,115,5707,5761,139,-1023,-1022,-24
ESPORTSTMNT01/1403832,complete,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1403832?gameHash=c3ff2293c78d39b4&amp;tab=overview,LCS,2020,Summer,0,6/13/2020 0:40,1,10.11,10,Red,sup,Zeyzal,Evil Geniuses,Yuumi,Varus,Syndra,Trundle,Bard,Karma,2030,1,1,1,18,20,8,0,0,0,0,0,0,0,0,0.5911,0.8276,,,,,,,,,,,,,,,,,,,,,,,,0,0,11033,326.0985,0.134172,38,1.1232,4,0.1182,11,67,1.9803,8638,4221,124.7586,0.100721,7810,,26,26,0,0,0,0.7685,1947,2587,11,2069,2284,14,-122,303,-3,3377,3821,18,3307,3652,21,70,169,-3
