        0-25     25-30     30-35     35-40       40+  Avg_game_time  Dmg_per_gold    Drag_%      FT_%     Games    Gd/min  Gd_at_15    Gold/M       KDA    O_0-25   O_25-30   O_30-35   O_35-40     O_40+  O_Avg_game_time  O_Dmg_per_gold  O_Drag_%    O_FT_%   O_Games  O_Gd/min  O_Gd_at_15  O_Gold/M     O_KDA      O_WR  O_Winrate        WR   Winrate
0   0.755446 -0.015616  0.766717  0.161048 -0.080922      -0.241995     -1.623037  0.352240  0.750587  1.192056 -0.378981 -0.383126 -1.417589 -0.631700 -2.226016 -1.643015 -1.650760 -1.045959  0.870816         0.086993        0.717706 -0.121166  0.540917  1.854888  0.067303    0.430155  1.266206  0.933166  0.857787   0.078325 -0.787970 -0.809355
1  -1.357828 -0.302442 -0.665706 -0.417001 -1.584172      -2.450978      1.038803  1.951078  0.750587  0.220601  1.935238  2.130281  2.048211  0.230564  0.404356 -1.210225 -1.224283 -1.631877 -1.207123         0.501675        0.333101  0.324677 -0.779245  0.000000  0.526991    0.112371 -0.180987 -0.528629 -0.529170   0.467212  1.649923  1.397978
2  -1.362900  0.519792 -0.784926 -0.366978  0.002715       0.171672      0.722504 -0.145759  0.322755  0.584897 -0.061602  0.315543  0.837491 -0.064803  0.245259 -0.854469  0.427381  0.058207 -1.650856         0.772119       -0.604188 -1.667971 -1.217243 -1.059936 -0.781352   -1.211084 -0.698597 -0.672877 -2.012681  -0.704926  0.671419 -0.073578
3   0.555108  0.883104 -0.452177 -0.633770 -0.215180       0.262679     -0.524214  0.151293  1.600308 -0.022263  0.282224 -0.158651 -0.826093 -0.485692 -1.901113 -0.911894 -1.055937 -0.082083  1.339905         0.609852       -1.382997 -0.567010  0.985084  1.059936  1.022040    0.551262  0.505637  0.097947  1.017508   1.644828 -0.839934  0.662200
4   0.902953  1.150808  1.528303  0.789120 -0.335132       0.047572      0.270811 -0.897126 -0.948855 -1.843741 -1.688168 -1.402733 -1.685611 -0.801918  0.294138 -1.711645  0.681771  0.003741 -0.636609         0.501675        0.333101  0.324677 -0.779245  1.059936  0.526991    0.112371  1.583110  0.680733  1.273783   0.467212 -1.579757 -1.545133
5   0.864068  0.824268  0.355674  0.273601 -0.065515       1.197566      0.385280  1.103606 -0.948855 -1.358013 -0.021930  0.598617  0.671133 -0.113224  0.415857 -0.613563 -0.219817  0.023547 -0.258802        -0.679267       -0.421076 -0.739888 -0.779245  0.264984 -0.972299   -0.725688 -0.888739 -0.678672 -0.922607  -1.093813  0.504959 -0.073578
6   0.516646  1.169930  2.224051  0.780783  0.474819      -2.450978      1.038803  1.951078  0.750587 -0.386558  1.935238  2.130281  2.519559  4.015586 -1.955264 -2.084209 -1.499249 -0.445187  0.941813        -0.363748       -1.745977  0.397468  0.985084  1.854888 -0.272159   -0.320707 -0.445074 -0.842883 -0.892829  -0.704926  1.943210  1.397978
7   1.046655  0.272680  0.172395  0.251368 -0.148051      -0.531562     -0.361669 -0.739863 -0.948855  0.099169 -1.033574 -0.759957 -1.131083 -0.687198  0.016676 -0.871276 -1.065289 -0.727418  1.076201         0.186156       -0.591808  0.188195  1.867249 -0.132492  0.435054   -0.079462  1.054937  1.637661  0.431864   0.861577 -1.579757 -1.174672
8  -1.728073 -0.699585 -0.713750  0.876661  0.962330       0.651526     -1.277463 -0.573864  0.750587  0.584897  0.831025  0.428232 -0.114448  0.192945  0.581183 -0.292822 -1.228024 -1.820031 -1.757352         1.204830        0.363496  1.179969 -0.779245 -0.927444  0.109736    0.734375 -0.423947 -0.721818 -1.344018   0.078325  0.552519  1.397978
9  -1.774143 -1.645374 -1.044720  0.734928  0.556254       0.047572      0.270811 -0.897126 -0.948855  0.463465 -1.688168 -1.402733 -1.112599 -0.648089  0.287429 -0.068724 -0.315213 -0.427032 -0.861011         0.772119       -0.604188 -1.667971 -1.217243  0.927444 -0.781352   -1.211084  0.400003 -0.270400  0.050157  -0.704926 -0.754502 -1.545133
