         0-25     25-30     30-35     35-40       40+  Avg_game_time  Dmg_per_gold    Drag_%      FT_%     Games    Gd/min  Gd_at_15    Gold/M       KDA    O_0-25   O_25-30   O_30-35   O_35-40     O_40+  O_Avg_game_time  O_Dmg_per_gold  O_Drag_%    O_FT_%   O_Games  O_Gd/min  O_Gd_at_15  O_Gold/M     O_KDA      O_WR  O_Winrate        WR   Winrate
0   -1.820139 -2.049916 -2.050317 -1.509208 -1.365856      -2.426306      0.486625  1.962811  0.830368  1.259057  2.008208  2.166479  1.582099  0.681173  0.782080  0.824989 -0.420892  0.067438  1.506053         0.627361        0.692481 -0.734323  0.775580 -0.571422  0.876964    0.443914 -0.936802 -0.968283 -1.149715   1.535613  1.460128  1.524314
1    0.938739  0.616112  2.340974  0.817971  1.071198       0.842460     -1.014658 -1.859442 -1.441979 -0.952800 -0.988736 -1.372465 -2.135507 -1.335672  0.787816  1.309405  1.658364 -0.494247 -1.642421        -0.597685        2.284891 -0.912593 -0.888605  0.903487 -1.123617   -0.827642 -0.552110  0.353717 -0.266881  -1.278102 -1.893444 -0.892353
2    0.594561  0.358269  0.478535 -0.349496 -0.680036      -0.205541     -1.454652  0.256781  0.830368  0.748629 -0.477409 -0.495127  0.087942 -0.528149  0.380594 -0.678544 -0.166290 -0.450260  1.729117         1.192766       -0.020794  1.067143 -0.888605  0.482084 -0.038195    0.626253 -0.340529  0.247813 -0.342531  -0.073832 -0.009562 -0.892353
3    0.604215 -0.041718  0.081814  0.304020  0.639504       0.085570      0.438594 -1.076346 -0.990056 -0.952800 -1.883558 -1.574854 -1.726392 -1.455426  0.710864  0.576914  0.495678  0.917861  0.792863         0.524559       -0.604768  0.185176 -0.888605  0.271383  0.380366    0.006877  0.265360  0.233404  0.565268   0.325716 -1.651044 -1.697908
4    0.258358  0.287197  1.002285  0.635208  0.477884      -0.496653      2.254270 -0.908540 -0.990056 -0.102086 -1.180483 -0.894177 -0.347854 -0.564141 -2.129174 -2.510609 -2.871444 -1.280381 -0.796211         0.130489        0.203912 -0.274573  0.356624  0.903487 -0.080761    0.323318 -0.359764  0.482675 -0.389434  -0.073832 -0.099825 -1.292314
5    0.305788 -0.527652 -0.174198 -1.189097 -1.982563       0.301824     -0.038040  0.042362  1.740580 -1.463228  0.232767 -0.257416 -1.948737 -0.406431  0.733806  1.368071  0.665413  0.154285 -0.386920         0.001987        0.394113 -1.081480 -0.888605 -0.150019 -1.825949   -1.515516 -1.658099 -0.739185  0.301250  -1.683277 -1.589897  0.718758
6    0.701592  0.829328  0.711096 -1.346383 -1.784792       1.241699      0.040167  1.058522 -0.990056  0.068057 -0.093914  0.544503 -0.543518 -1.229006 -1.974792 -0.946733 -0.762484  0.216319 -0.712306        -2.585172        0.444130  1.977259  0.775580  1.746292  2.061705    2.265383  1.804128  1.945160  1.743137   1.535613 -0.801550 -0.086797
7   -1.187188  1.237579  0.539118  0.388201 -0.219633       0.592936     -0.520611  0.182200 -0.990056 -0.102086  0.325090 -0.068392  0.007898  1.459902  0.709908  1.637936  1.221296  0.346025  0.063301         0.781562       -1.119251 -1.869622 -1.301742 -0.782123 -0.932072   -1.310987 -0.455937 -0.882551 -1.212504  -0.878554  0.399534  0.313164
8    0.305788 -1.570593 -1.213880 -1.729631 -1.651881       0.210332      0.255948 -0.274606  0.372079  1.259057 -0.136524  0.244738 -0.383429  3.216298  0.317025  0.305373  0.892434  0.730633  0.775468        -0.297849       -1.577443  0.260237  0.775580  0.482084 -0.421285   -0.424371 -0.494406 -0.883992 -0.940165  -0.878554  0.869049 -0.086797
9    0.509776  0.095468  0.589930  1.134759  0.718187       0.692746      0.725111 -0.731411  0.830368 -0.782657  0.822214  0.364071  0.141305  1.131396  0.984257  2.608444  1.543793  0.197145 -1.143085         0.224723       -0.102236  0.044436  1.607672 -0.992824  0.288140   -0.184146 -0.465554  0.076349 -0.645130   0.730891  0.836292  1.524314
