         0-25     25-30     30-35     35-40       40+  Avg_game_time  Dmg_per_gold    Drag_%      FT_%     Games  Gd_at_15    Gd/min    Gold/M       KDA    O_0-25   O_25-30   O_30-35   O_35-40     O_40+  O_Avg_game_time  O_Dmg_per_gold  O_Drag_%    O_FT_%   O_Games  O_Gd_at_15  O_Gd/min  O_Gold/M     O_KDA      O_WR  O_Winrate        WR   Winrate
0   -0.621264  0.518912 -0.210362 -0.284742 -0.872296      -2.433951      0.617977  1.955009  0.802792  1.070552  2.151677  1.981226  1.804776  0.554349  0.369038 -0.338574 -1.231168 -0.958676 -1.179687         0.621541        0.853438 -0.677230  0.838320  0.329513    0.478050  0.921900 -0.266854 -0.506408  0.042068   1.567546  1.625011  1.479415
1    0.711662  1.628272  1.266243  1.004592  0.503338       0.828653     -0.996898 -1.778592 -1.416936 -1.227431 -1.316665 -0.942232 -2.041658 -0.901297  1.260106  1.088893 -0.937041 -0.244513  0.370005        -0.622906        2.563653 -0.853274 -0.851929  0.095950   -0.793707 -1.071863 -0.800616  0.384399 -0.311067  -1.214030 -1.845084 -0.862958
2    0.622522 -0.215367 -0.803729 -0.038848  0.269300      -0.217372     -1.470182  0.288548  0.802792  0.134337 -0.456830 -0.443443 -0.258481 -0.498178 -0.599891 -1.423019 -1.005935  1.043126 -0.610009         1.195902        0.087395  1.101739 -0.851929 -0.137613    0.660419  0.009860 -0.981894 -0.457303 -0.393466  -0.023516 -0.039077 -0.862958
3    1.309180 -0.379083  2.127183  1.217013  0.257047       0.073190      0.566312 -1.013659 -0.975477 -0.801879 -1.515016 -1.815113 -1.434818 -0.874983 -0.748402  0.625889 -0.066582  0.107880  1.849065         0.517112       -0.539781  0.230785 -0.851929 -0.137613    0.040944  0.426995  0.297121  0.952911  0.678617   0.371468 -1.412404 -1.643749
4    0.260389  0.377188 -0.105067  0.416249 -0.132607      -0.507935      2.519367 -0.849745 -0.975477 -0.035884 -0.847919 -1.129278 -0.445201 -0.317144 -1.159331 -0.467785 -1.929390 -1.175739 -1.444135         0.116801        0.328725 -0.223223  0.412803  2.431581    0.357436 -0.032561  0.417973 -0.204862  0.253044  -0.023516 -0.330703 -1.250623
5   -0.100351  0.230576 -0.282210 -0.089057 -1.757390       0.289037      0.053615  0.079102  1.691927 -0.886989 -0.223861  0.249320 -1.388138 -0.211365  0.950106 -0.301657  0.244770  0.970102 -0.951816        -0.013736        0.532997 -1.020052 -0.851929 -0.487957   -1.481691 -1.771801 -1.908425 -0.925530  0.106357  -1.614577 -1.236736  0.698624
6    1.805023  1.640490  1.558591 -0.439230 -0.330293       1.227139      0.137739  1.071694 -0.975477 -0.886989  0.562060 -0.069351 -0.659929 -0.862353 -0.454263 -1.181518  0.365336  0.001358  0.430126        -2.641869        0.586714  2.000489  0.838320  1.730892    2.299808  2.102604  2.109899  1.447420  2.175367   1.567546 -0.883669 -0.082167
7    1.963805  0.881776  0.449898 -0.625904  0.378354       0.579600     -0.465469  0.215697 -0.975477  0.304557 -0.038608  0.339379 -0.071761  2.305229  0.821781 -0.173985  0.715109  0.014087  0.405741         0.778185       -1.092325 -1.798351 -1.271536 -0.371176   -1.277129 -0.880970 -1.153101 -0.795506 -1.493618  -0.819046  0.521677  0.305499
8   -1.356672  0.209806  0.079508  0.286221 -1.173726       0.197717      0.369847 -0.230514  0.355116  0.304557  0.268275 -0.110917 -0.538561  0.947995  0.014341 -0.177061  0.256694 -1.591776  2.451536        -0.318321       -1.584414  0.304909  0.838320  0.329513   -0.390373 -0.371925 -0.327280 -0.380533 -0.751128  -0.819046  0.583117 -0.082167
9   -0.598979 -0.228806 -0.378834 -1.425381  1.587343       0.679221      0.874508 -0.676724  0.802792 -0.631658  0.385228  0.824313  0.301679  1.471627  2.465498  0.784325  0.740282 -0.913120 -0.137450         0.212527       -0.000071  0.091803  1.683445 -1.071865   -0.150109  0.335084 -0.125860 -0.136391  0.091869   0.772015  1.389633  1.479415
10   0.284067  0.666745  0.993715 -0.171451 -0.768960       0.828653     -0.996898 -1.778592 -1.416936 -1.142320 -1.316665 -0.942232 -0.025081 -0.526597 -0.158682 -1.023082 -0.816475 -1.972976  1.721255        -0.318321       -1.584414  0.304909  0.838320 -0.020831   -0.390373 -0.371925 -0.548842  0.060721  0.140765  -0.819046 -1.639128 -0.862958
11  -0.091994 -0.525695 -1.700593 -1.422806  0.799050      -0.507935      2.519367 -0.849745 -0.975477  1.325883 -0.847919 -1.129278  0.161639 -0.193472  0.183038  0.508984  0.976114 -0.042189  1.043108         0.621541        0.853438 -0.677230  0.838320 -1.188647    0.478050  0.921900 -0.216499 -0.907548 -1.870296   1.567546 -0.090133 -1.250623
12   1.892771  0.790143 -0.745507 -0.862786 -0.798368      -2.433951      0.617977  1.955009  0.802792 -0.972100  2.151677  1.981226  1.636728  2.284179 -0.008729  0.596663  1.010562  2.567925  0.153485        -0.013736        0.532997 -1.020052 -0.851929 -1.655773   -1.481691 -1.771801 -1.566011 -0.389524 -1.417558  -1.614577  1.890677  1.479415
13  -3.005767  7.515944  1.765464  0.183229 -2.379448       0.197717      0.369847 -0.230514  0.355116 -0.461437  0.268275 -0.110917 -1.192081 -0.250834 -1.369843 -0.600072 -0.005636 -0.522541 -0.177811         1.195902        0.087395  1.101739 -0.851929 -0.020831    0.660419  0.009860  0.478399 -0.709053  0.958409  -0.023516 -1.147603 -0.082167
14  -1.211819 -0.735838 -0.658794  0.646050 -0.330293       0.679221      0.874508 -0.676724  0.802792  0.559889  0.385228  0.824313 -0.258481  0.105972 -1.274680  0.402847  0.969490 -0.471625  0.554572         0.517112       -0.539781  0.230785 -0.851929  1.847673    0.040944  0.426995 -1.163172 -0.249125 -0.222331   0.371468  0.549368  1.479415
15  -0.430448 -1.769449 -0.608005 -0.040136  0.128796       0.197717      0.369847 -0.230514  0.355116  0.815220  0.268275 -0.110917  0.096287 -0.599221 -0.744076 -0.889257 -0.458752 -0.913790  1.984022         0.212527       -0.000071  0.091803  1.683445  0.679858   -0.150109  0.335084  0.226624  0.957061  1.508032   0.772015 -0.440604 -0.082167
16   0.933120 -0.569678 -0.140991 -0.070390 -0.175902      -0.217372     -1.470182  0.288548  0.802792  0.559889 -0.456830 -0.443443 -0.902665 -0.575539  1.007780  0.222875  1.366960  0.063663  0.466282        -2.641869        0.586714  2.000489  0.838320 -0.254394    2.299808  2.102604  1.888337  3.631557  2.265915   1.567546 -0.851650 -0.862958
17  -0.430448  0.351531  0.967701 -1.668056  1.713552       0.073190      0.566312 -1.013659 -0.975477 -0.631658 -1.515016 -1.815113 -0.090433  0.339107 -1.888911 -0.936941 -0.391182 -1.987045 -0.702503         1.195902        0.087395  1.101739 -0.851929 -1.071865    0.660419  0.009860 -1.465301 -0.617068 -1.051746  -0.023516  0.178129 -1.643749
18   2.082194  0.996621  0.280188 -0.837682  0.826824       0.579600     -0.465469  0.215697 -0.975477 -0.546547 -0.038608  0.339379 -1.229426  0.787484 -0.338914 -0.315501 -1.080130 -0.982124  0.634453        -0.622906        2.563653 -0.853274 -0.851929  0.212732   -0.793707 -1.071863 -0.709977 -0.719427 -0.426968  -1.214030 -0.052057  0.305499
19  -2.766203 -1.148793 -1.924809  0.187735 -0.762425       0.289037      0.053615  0.079102  1.691927  0.049226 -0.223861  0.249320  0.283007  0.304374 -0.398031 -0.529314 -0.588592 -0.393241 -0.283338         0.778185       -1.092325 -1.798351 -1.271536 -1.772554   -1.277129 -0.880970 -2.260909 -0.810030 -1.870296  -0.819046  1.476169  0.698624
20   1.061259  0.048534  0.164983 -1.511637  1.346362       0.197717      0.369847 -0.230514  0.355116 -0.972100  0.268275 -0.110917 -0.949345 -0.693422 -2.024446 -1.766041 -0.049358 -2.436580 -0.153006         0.778185       -1.092325 -1.798351 -1.271536 -0.254394   -1.277129 -0.880970 -0.327280  0.862309  0.607990  -0.819046 -1.196064 -0.082167
21  -0.706226 -0.434062 -0.830982  0.329993  0.734108      -0.217372     -1.470182  0.288548  0.802792  1.581214 -0.456830 -0.443443 -0.454537 -0.595011 -1.411656  0.944300 -0.766129 -1.569668 -0.684425         0.621541        0.853438 -0.677230  0.838320 -1.188647    0.478050  0.921900 -0.266854 -0.583178 -0.587237   1.567546 -0.483872 -0.862958
22  -0.323201 -0.088304  0.401587 -0.095494 -0.965012       0.289037      0.053615  0.079102  1.691927 -0.972100 -0.223861  0.249320 -0.314497 -0.181894  0.605502 -0.652371  0.736308  0.529276 -0.630610        -0.622906        2.563653 -0.853274 -0.851929 -0.721520   -0.793707 -1.071863 -0.679764 -0.812105 -1.156781  -1.214030  0.699941  0.698624
23   0.006896 -0.104187  0.560148  0.920267 -0.983800      -2.433951      0.617977  1.955009  0.802792 -0.035884  2.151677  1.981226  1.057895  0.915893  1.358152  1.288861  0.470003 -0.907760 -0.705026         0.517112       -0.539781  0.230785 -0.851929 -0.721520    0.040944  0.426995 -1.908425 -0.796197 -0.899626   0.371468  1.977213  1.479415
24   0.732554  0.181706  1.258810 -1.065552 -0.080735       0.073190      0.566312 -1.013659 -0.975477 -1.057210 -1.515016 -1.815113 -0.585241 -0.405030  0.155643  0.427458 -0.930416 -0.204316  1.091457        -0.318321       -1.584414  0.304909  0.838320  0.329513   -0.390373 -0.371925 -0.538771 -0.710436 -0.403426  -0.819046  0.131399 -1.643749
25  -0.433234 -1.307622 -1.461512 -0.671607  0.484549       1.227139      0.137739  1.071694 -0.975477  0.985441  0.562060 -0.069351 -0.454537 -0.625534 -1.731749  0.421306  0.984064 -1.885883  1.919697         0.212527       -0.000071  0.091803  1.683445 -0.137613   -0.150109  0.335084  0.075560  0.953603  1.915496   0.772015 -0.178400 -0.082167
26   0.597451  1.655151 -0.165767 -1.195579  0.021376      -0.507935      2.519367 -0.849745 -0.975477  0.304557 -0.847919 -1.129278 -0.473209 -0.326090 -0.635937 -1.661442 -0.396482 -0.243173  0.289703        -2.641869        0.586714  2.000489  0.838320  2.431581    2.299808  2.102604  2.109899  1.515198  2.062183   1.567546 -0.859438 -1.250623
27  -0.419306 -0.965529  0.425123  0.114353  0.364059       0.579600     -0.465469  0.215697 -0.975477 -0.206105 -0.038608  0.339379 -0.930673 -0.829198  0.952990 -1.129219 -0.351435 -1.344566  1.801977         0.116801        0.328725 -0.223223  0.412803 -0.487957    0.357436 -0.032561  0.488470  0.483301  0.167023  -0.023516 -1.514516  0.305499
28   1.427570  1.382698  0.467241 -0.648433 -0.130973       0.679221      0.874508 -0.676724  0.802792 -1.057210  0.385228  0.824313 -1.425482 -0.705000 -0.030357 -1.375334 -1.117227 -0.195606  0.206879         1.195902        0.087395  1.101739 -0.851929  0.679858    0.660419  0.009860  0.156128 -0.372926  0.180606  -0.023516 -1.567303  1.479415
29   1.913663  0.426058 -0.085247 -0.349112 -0.367461       0.828653     -0.996898 -1.778592 -1.416936 -0.801879 -1.316665 -0.942232 -1.453490 -0.694475  0.670386 -1.169212 -0.514398 -1.412900 -0.900103        -0.013736        0.532997 -1.020052 -0.851929  0.212732   -1.481691 -1.771801 -0.568983 -0.255350  0.393392  -1.614577 -1.993926 -0.862958
30  -0.743832  1.083366  1.558591  0.682741  1.444797       0.679221     -1.639504 -0.676724  0.802792 -0.376326  0.385228  0.824313 -0.043753 -0.541858 -0.297101  0.079821 -0.171249  1.329193 -0.134927        -0.013736        0.532997 -1.020052 -0.851929 -0.371176   -1.481691 -1.771801 -0.407848 -0.523007 -0.135405  -1.614577 -0.547043  1.479415
31   0.798017  0.683850 -0.818594 -0.625904 -1.625055      -2.433951      0.617977  1.955009  0.802792 -0.035884  2.151677  1.981226  1.272623  0.203331  0.591084 -0.497011 -0.144751  0.760408 -0.066818         0.212527       -0.000071  0.091803  1.683445 -0.721520   -0.150109  0.335084 -1.847999 -0.765074 -0.813606   0.772015  1.650106  1.479415
32   0.580737 -0.222698  0.625803 -0.690274  0.321989       0.828653     -0.996898 -1.778592 -1.416936 -0.461437 -1.316665 -0.942232 -0.912001 -0.243993 -0.674867  0.032136  0.297766  1.930806  0.066036         1.195902        0.087395  1.101739 -0.851929 -1.422210    0.660419  0.009860  0.790600  0.340827  1.223713  -0.023516 -1.416730 -0.862958
33  -0.582265  0.134057  0.451137 -0.512612  1.077607      -0.217372     -1.470182  0.288548  0.802792  0.474778 -0.456830 -0.443443 -0.669265 -0.552384 -0.096682 -0.144759  0.418332 -1.696288 -0.251806        -0.622906        2.563653 -0.853274 -0.851929 -1.655773   -0.793707 -1.071863 -1.273953 -0.430330  0.543701  -1.214030 -0.961551 -0.862958
34   2.383042  0.566561 -0.293359 -0.785542 -0.257999      -0.507935      2.519367 -0.849745 -0.975477  0.049226 -0.847919 -1.129278 -0.286489 -0.370296  0.400758 -0.227823 -0.021535 -0.696727  0.562140         1.195902        0.087395  1.101739 -0.851929  0.446295    0.660419  0.009860 -0.297067 -0.539606  0.074665  -0.023516 -0.691559 -1.250623
35  -0.734082  0.035094  0.768260  1.046432  0.559703       0.828653     -0.996898 -1.778592 -1.416936 -1.227431 -1.316665 -0.942232 -2.956586 -1.166007 -0.899797 -0.009396 -1.096029  1.494670 -2.406491         0.621541       -1.760463 -0.677230  0.838320 -0.955084    0.478050  0.921900  0.317263  0.931471  1.034469   1.567546 -2.061424 -0.862958
36  -0.420699 -1.499439 -0.469263  0.118859  0.073656       0.289037      0.053615  0.079102  1.691927 -0.546547 -0.223861  0.249320 -1.052041 -0.589748 -1.619284 -0.473938  0.244770 -0.470285 -0.572171         0.517112       -0.539781  0.230785 -0.851929 -0.137613    0.040944  0.426995 -0.931539 -0.289239  0.199621   0.371468 -1.390770  0.698624
37  -0.119850 -1.488443 -0.225227 -0.083264 -0.637441       0.197717      0.369847 -0.230514  0.355116 -0.120995  0.268275 -0.110917  0.133631 -0.363981 -1.612075  1.565740  2.401706  0.988860 -0.734455        -0.013736        0.532997 -1.020052 -0.851929 -0.137613   -1.481691 -1.771801 -0.931539 -0.651649 -0.346381  -1.614577  0.404853 -0.082167
38  -1.378957 -0.317995 -0.067904  0.468388  0.624645       0.579600     -0.465469  0.215697 -0.975477  0.985441 -0.038608  0.339379 -0.715945 -0.176105 -0.699379 -1.504544 -0.774078 -0.166799  1.123409        -0.318321       -1.584414  0.304909  0.838320  1.030202   -0.390373 -0.371925 -0.377635 -0.052705 -0.220520  -0.819046  0.545907  0.305499
39   1.381607 -0.233693 -0.764089 -1.597893  1.078424       0.197717      0.369847 -0.230514  0.355116 -1.227431  0.268275 -0.110917 -1.192081 -0.791834  0.376247  0.390541  0.117579  1.503379  0.096307        -2.641869        0.586714  2.000489  0.838320 -0.137613    2.299808  2.102604  2.079686  0.553846  1.336897   1.567546 -1.051548 -0.082167
40  -0.132385 -1.148793  0.504404  1.125607  0.324032      -0.217372     -1.470182  0.288548  0.802792  1.921656 -0.456830 -0.443443 -1.014697 -0.550805 -1.623610 -0.816960  0.304390 -1.715716  1.577049         0.212527       -0.000071  0.091803  1.683445  0.563076   -0.150109  0.335084  0.961806  0.663814  1.634799   0.772015 -0.628387 -0.862958
41   0.636450  0.560452 -1.649804 -1.158889 -1.091221      -2.433951      0.617977  1.955009  0.802792  0.985441  2.151677  1.981226  1.197935  0.124392  0.259456 -0.856954 -0.762154  0.811324 -1.479872         0.778185       -0.697773 -1.798351 -1.271536  0.095950   -1.277129 -0.880970 -0.085576 -0.741559 -1.498145  -0.819046  1.492611  1.479415
42  -0.668620 -0.258129 -0.838414 -0.197842 -0.099523      -0.507935      2.519367 -0.849745 -0.975477  0.985441 -0.847919 -1.129278 -0.547897 -0.325564 -1.966772  0.090589  1.313964  1.250139 -1.010676        -0.013736        0.532997 -1.020052 -0.851929 -0.254394   -1.481691 -1.771801 -1.294094 -0.967028 -1.040880  -1.614577 -0.090133 -1.250623
43   0.632271  0.571448  0.651817 -1.478808  2.021109       0.579600     -0.465469  0.215697 -0.975477  2.347209 -0.038608  0.339379  0.124295 -0.199261 -0.030357 -1.375334 -1.117227 -0.195606  0.206879         1.195902        0.087395  1.101739 -0.851929  0.679858    0.660419  0.009860  0.156128 -0.372926  0.180606  -0.023516  0.333893  0.305499
44  -1.147749  0.050977 -0.122410  2.340272 -1.177810       0.197717      0.369847 -0.230514  0.355116  0.134337  0.268275 -0.110917 -1.490834 -0.447131  0.912618  1.371925 -0.563419 -0.787840  0.887550         0.621541       -1.760463 -0.677230  0.838320 -1.422210    0.478050  0.921900 -0.055363 -0.101119 -0.964820   1.567546 -0.552236 -0.082167
45   1.061259  0.048534  0.164983 -1.511637  1.346362       0.073190      0.566312 -1.013659 -0.975477 -0.546547 -1.515016 -1.815113 -0.491881  0.014403 -0.542216  0.079821 -0.718432 -0.174838 -1.006892        -2.641869        0.586714  2.000489  0.838320  1.030202    2.299808  2.102604  1.646633  3.199986  2.084820   1.567546 -0.052923 -1.643749
46   0.349529 -0.607553 -0.578274 -1.121554 -0.020694       1.227139      0.137739  1.071694 -0.975477 -0.376326  0.562060 -0.069351 -0.379849 -0.788150 -2.386352  0.470529  0.573345  0.237179 -0.765987        -0.318321       -1.584414  0.304909  0.838320  1.964455   -0.390373 -0.371925  0.981948 -0.075529  0.916757  -0.819046 -0.890591 -0.082167
47  -0.937434 -0.101743  1.552397 -0.672250  1.518317       0.579600     -0.465469  0.215697 -0.975477  2.262098 -0.038608  0.339379  0.254999  0.005982  0.456991 -1.718357 -2.827672 -0.044198 -1.520232         0.778185       -0.697773 -1.798351 -1.271536 -0.604739   -1.277129 -0.880970 -0.095647 -0.507100 -1.083438  -0.819046  0.319182  0.305499
48  -0.030710 -0.391301 -0.163289  0.869414 -0.642343       0.679221     -1.639504 -0.676724  0.802792  0.049226  0.385228  0.824313  0.311015  0.149652 -2.070585  0.212108 -2.875369 -0.479664  1.017041        -0.622906        2.563653 -0.853274 -0.851929 -0.604739   -0.793707 -1.071863 -0.921468  0.203194 -0.446889  -1.214030  0.560618  1.479415
49  -1.448598  0.620318  2.796114  1.146850 -0.192648       0.289037      0.053615  0.079102  1.691927 -0.631658 -0.223861  0.249320 -0.127777 -0.027699 -0.637379  0.001372  0.268618  2.190745 -0.996802         0.116801        0.328725 -0.223223  0.412803  0.446295    0.357436 -0.032561 -0.015079 -0.252584 -0.064778  -0.023516  0.670519  0.698624
