         0-25     25-30     30-35     35-40       40+  Avg_game_time  Dmg_per_gold    Drag_%      FT_%     Games    Gd/min  Gd_at_15    Gold/M       KDA    O_0-25   O_25-30   O_30-35   O_35-40     O_40+  O_Avg_game_time  O_Dmg_per_gold  O_Drag_%    O_FT_%   O_Games  O_Gd/min  O_Gd_at_15  O_Gold/M     O_KDA      O_WR  O_Winrate        WR   Winrate
0   -1.799620 -2.031620 -2.098707 -1.680073 -1.715555      -2.433951      0.617977  1.955009  0.802792  1.070552  1.981226  2.151677  1.804776  0.554349  0.709833  0.539598 -0.638334 -0.196955  1.294575         0.621541        0.853438 -0.677230  0.838320  0.328947  0.921900    0.478050 -0.266925 -0.506497  0.041146   1.567546  1.625011  1.479415
1    0.991874  0.375779  2.062880  0.681863  0.810360       0.828653     -0.996898 -1.778592 -1.416936 -1.227431 -0.942232 -1.316665 -2.041658 -0.901297  0.711265  0.937316  1.201032 -0.748592 -1.948341        -0.622906        2.563653 -0.853274 -0.851929  0.095338 -1.071863   -0.793707 -0.800721  0.384355 -0.312476  -1.214030 -1.845084 -0.862958
2    0.653996  0.169169  0.300632 -0.555662 -0.727154      -0.217372     -1.470182  0.288548  0.802792  0.134337 -0.443443 -0.456830 -0.258481 -0.498178  0.324327 -0.789539 -0.459664 -0.724558  1.512207         1.195902        0.087395  1.101739 -0.851929 -0.138271  0.009860    0.660419 -0.982010 -0.457390 -0.394988  -0.023516 -0.039077 -0.862958
3    0.652732 -0.144574 -0.029091  0.125257  0.409009       0.073190      0.566312 -1.013659 -0.975477 -0.801879 -1.815113 -1.515016 -1.434818 -0.874983  0.651626  0.250083  0.189193  0.667124  0.579060         0.517112       -0.539781  0.230785 -0.851929 -0.138271  0.426995    0.040944  0.297085  0.952895  0.678571   0.371468 -1.412404 -1.643749
4    0.319910  0.126316  0.701143  0.416439  0.318156      -0.507935      2.519367 -0.849745 -0.975477 -0.035884 -1.129278 -0.847919 -0.445201 -0.317144 -2.204362 -2.437435 -2.788023 -1.589780 -1.148648         0.116801        0.328725 -0.223223  0.412803  2.431430 -0.032561    0.357436  0.417945 -0.204936  0.252412  -0.023516 -0.330703 -1.250623
5    0.335919 -0.563917 -0.319694 -1.414649 -2.231720       0.289037      0.053615  0.079102  1.691927 -0.886989  0.249320 -0.223861 -1.388138 -0.211365  0.693134  1.010426  0.328367 -0.106541 -0.508072        -0.013736        0.532997 -1.020052 -0.851929 -0.488685 -1.771801   -1.481691 -1.908598 -0.925640  0.105523  -1.614577 -1.236736  0.698624
6    0.720982  0.657382  0.514859 -1.532242 -2.145859       1.227139      0.137739  1.071694 -0.975477 -0.886989 -0.069351  0.562060 -0.659929 -0.862353 -2.033557 -1.017642 -0.869665 -0.087085 -0.866343        -2.641869        0.586714  2.000489  0.838320  1.730602  2.102604    2.299808  2.109976  1.447429  2.177382   1.567546 -0.883669 -0.082167
7   -1.143665  0.945107  0.373283  0.227171 -0.465577       0.579600     -0.465469  0.215697 -0.975477  0.304557  0.339379 -0.038608 -0.071761  2.305229  0.632541  1.242915  0.868141  0.081153 -0.035852         0.778185       -1.092325 -1.798351 -1.271536 -0.255076 -0.880970   -1.277129 -1.143156 -0.783851 -1.315310  -0.819046  0.521677  0.305499
8    0.335919 -1.489840 -1.318177 -1.966776 -1.895264       0.197717      0.369847 -0.230514  0.355116  0.304557 -0.110917  0.268275 -0.538561  0.947995  0.247990 -0.023348  0.431808  0.488586  0.535944        -0.318321       -1.584414  0.304909  0.838320  0.328947 -0.371925   -0.390373 -0.327355 -0.380616 -0.753143  -0.819046  0.583117 -0.082167
9    0.528029 -0.132330  0.317398  0.955126  0.652615       0.679221      0.874508 -0.676724  0.802792 -0.631658  0.824313  0.385228  0.301679  1.471627  0.934553  2.048586  1.065619 -0.044740 -1.348828         0.212527       -0.000071  0.091803  1.683445 -1.072708  0.335084   -0.150109 -0.125922 -0.136462  0.091015   0.772015  1.389633  1.479415
10  -1.143665  0.502807 -0.481761  0.380601 -0.786058       0.828653     -0.996898 -1.778592 -1.416936 -1.142320 -0.942232 -1.316665 -0.025081 -0.526597  0.445991 -0.203198 -0.457783 -0.212977 -0.217554        -0.318321       -1.584414  0.304909  0.838320 -0.021467 -0.371925   -0.390373 -0.548930  0.060660  0.139978  -0.819046 -1.639128 -0.862958
11  -1.285641  0.363536 -0.694125  0.077100 -0.338782      -0.507935      2.519367 -0.849745 -0.975477  1.325883 -1.129278 -0.847919  0.161639 -0.193472  0.384920 -0.390359 -0.437095 -0.335436 -0.201129         0.621541        0.853438 -0.677230  0.838320 -1.189513  0.921900    0.478050 -0.216567 -0.907657 -1.873851   1.567546 -0.090133 -1.250623
12   1.242122  0.675748  0.857622 -1.297057 -1.774460      -2.433951      0.617977  1.955009  0.802792 -0.972100  1.981226  2.151677  1.636728  2.284179  0.546661 -0.157870 -0.121130  0.614478 -0.135429        -0.013736        0.532997 -1.020052 -0.851929 -1.656731 -1.771801   -1.481691 -1.566163 -0.389608 -1.420490  -1.614577  1.890677  1.479415
13   0.567631 -0.161409  1.002924 -0.406711 -0.537460       0.197717      0.369847 -0.230514  0.355116 -0.461437 -0.110917  0.268275 -1.192081 -0.250834 -2.033557 -1.437292 -1.510999  0.202467 -0.750341         1.195902        0.087395  1.101739 -0.851929 -0.021467  0.009860    0.660419  0.478375 -0.709152  0.958748  -0.023516 -1.147603 -0.082167
14  -1.596977 -0.167531 -0.457544  0.427638  0.758443       0.679221      0.874508 -0.676724  0.802792  0.559889  0.824313  0.385228 -0.258481  0.105972  0.130620 -0.845102 -0.077873 -0.168343 -0.173412         0.517112       -0.539781  0.230785 -0.851929  1.847407  0.426995    0.040944 -1.163299 -0.249202 -0.223617   0.371468  0.549368  1.479415
